TFAP2A,LMTK3
TFAP2A,CACNA1D
TFAP2A,503538
TFAP2A,MAP2K1
SPINT1,PROM2
SPINT1,SPINT2
SPINT1,CDCP1
SPINT1,FXYD3
SPINT1,ERBB3
SPINT1,EPS8L2
SPINT1,ELF3
SPINT1,hsa-mir-200c
SPINT1,KIAA1522
SPINT1,ST14
SPINT1,TMPRSS13
SPINT1,BSPRY
SPINT1,RAB17
SPINT1,LIPH
SPINT1,CDH1
SPINT1,LRRC8E
SPINT1,CCDC120
SPINT1,MYO5B
SPINT1,DLG3
SPINT1,TNK1
SPINT1,TFAP2A
SPINT1,SEMA4A
SPINT1,SDC1
SPINT1,PRRG2
SPINT1,LMTK3
SPINT1,CDS1
SPINT1,PRRG4
SPINT1,PSD4
SPINT1,MAP7
SPINT1,BAIAP2L1
SPINT1,CLDN4
SPINT1,PTK6
SPINT1,CLDN7
SPINT1,LYPD3
SPINT1,KIAA1324
SPINT1,FAM83H
SPINT1,GeneSymbol
SPINT1,RAP1GAP
SPINT1,IRF6
SPINT1,CLSTN1
SPINT1,TRAF4
SPINT1,SHROOM3
SPINT1,SP6
TPD52,hsa-mir-200c
TPD52,TYRO3
TPD52,DCAF13
TPD52,TMEM97
TPD52,STX3
TPD52,221584
TPD52,TNIP1
TPD52,TOB2
TPD52,NPR1
TPD52,BUB3
TPD52,SSX2IP
TPD52,PARD6B
TPD52,PIP4K2C
TPD52,TRPS1
TPD52,SLC38A1
TPD52,KLHL31
TPD52,STRBP
TPD52,TLN2
TPD52,CD99L2
TPD52,C2orf15
TPD52,TTC39A
TPD52,5820
TPD52,IRX5
TPD52,78998
TPD52,TRIM59
TPD52,SPTBN1
TPD52,PRLR
TPD52,ITGB1BP1
TPD52,KIAA0895
TPD52,MANEAL
TPD52,SAMD12
TPD52,TMEM63C
TPD52,PGM1
TPD52,BCL2L11
TPD52,TUFT1
TPD52,ESR2
TPD52,ERMP1
TPD52,FKBP4
TPD52,C1orf123
TPD52,PPT1
TPD52,PJA1
TPD52,SNX21
TPD52,CYB5R3
TPD52,ZNF233
TPD52,MTURN
TPD52,CDS1
TPD52,OLR1
TPD52,SORD
TPD52,AHCY
TPD52,TK2
TPD52,170958
TPD52,ZNF552
TPD52,ADAMTSL4
TPD52,GID8
TPD52,PNPLA2
TPD52,TRMT12
TPD52,UBXN2B
TPD52,246181
TPD52,SHROOM2
TPD52,NATD1
TPD52,MREG
